Team,Founded
Atlanta Hawks,1949
Boston Celtics,1946
Brooklyn Nets,1976
Charlotte Hornets,1988
Chicago Bulls,1966
Cleveland Cavaliers,1970
Dallas Mavericks,1980
Denver Nuggets,1976
Detroit Pistons,1948
Golden State Warriors,1946
Houston Rockets,1967
Indiana Pacers,1976
Los Angeles Clippers,1970
Los Angeles Lakers,1948
Memphis Grizzlies,1995
Miami Heat,1988
Milwaukee Bucks,1968
Minnesota Timberwolves,1989
New Orleans Pelicans,2002
New York Knicks,1946
Oklahoma City Thunder,1967
Orlando Magic,1989
Philadelphia 76ers,1949
Phoenix Suns,1968
Portland Trail Blazers,1970
Sacramento Kings,1948
San Antonio Spurs,1976
Toronto Raptors,1995
Utah Jazz,1974
Washington Wizards,1961