Team,Year,GP,GF/G,A,PTS,PPG,PP%,SHG,S,S%,PIM,PK%,SOA,SOG,SO%
Buffalo Sabres,2001,82,2.6,348,561,50,13.3,7,2295,9.3,1217,86.5,0,0,0.0
Calgary Flames,2001,82,2.45,331,532,55,15.1,10,2207,9.1,1581,81.5,0,0,0.0
Carolina Hurricanes,2001,82,2.65,369,586,63,16.1,4,2347,9.2,1022,83.7,0,0,0.0
Chicago Blackhawks,2001,82,2.63,385,601,54,17.9,4,2271,9.5,1234,81.5,0,0,0.0
Colorado Avalanche,2001,82,2.59,366,578,62,18.0,7,2252,9.4,1007,87.0,0,0,0.0
Columbus Blue Jackets,2001,82,2.0,276,440,50,14.0,3,2046,8.0,1198,83.0,0,0,0.0
Dallas Stars,2001,82,2.62,367,582,60,17.1,7,2335,9.2,959,81.5,0,0,0.0
Detroit Red Wings,2001,82,3.06,433,684,73,20.3,9,2538,9.9,1053,86.0,0,0,0.0
Edmonton Oilers,2001,82,2.5,343,548,51,15.3,12,2256,9.1,1267,85.6,0,0,0.0
Florida Panthers,2001,82,2.2,300,480,50,14.7,8,2205,8.2,1994,80.7,0,0,0.0
Los Angeles Kings,2001,82,2.61,375,589,73,20.7,5,2110,10.1,1348,86.6,0,0,0.0
Minnesota Wild,2001,82,2.38,329,524,55,14.7,11,1954,10.0,1209,82.9,0,0,0.0
Montreal Canadiens,2001,82,2.52,351,558,45,15.0,7,2092,9.9,974,86.3,0,0,0.0
Nashville Predators,2001,82,2.39,326,522,48,14.2,6,2019,9.7,1071,85.9,0,0,0.0
New Jersey Devils,2001,82,2.5,353,558,44,16.9,2,2445,8.4,1010,83.8,0,0,0.0
New York Islanders,2001,82,2.91,402,641,59,16.3,17,2319,10.3,1255,85.8,0,0,0.0
New York Rangers,2001,82,2.77,385,612,48,14.7,8,2392,9.5,1753,79.9,0,0,0.0
Ottawa Senators,2001,82,2.96,383,626,55,16.6,11,2469,9.8,1347,84.4,0,0,0.0
Philadelphia Flyers,2001,82,2.85,386,620,39,13.0,8,2442,9.6,1242,86.3,0,0,0.0
Pittsburgh Penguins,2001,82,2.41,341,539,47,14.0,5,2215,8.9,1248,83.8,0,0,0.0
San Jose Sharks,2001,82,3.02,411,659,59,16.0,15,2228,11.1,1249,85.8,0,0,0.0
St. Louis Blues,2001,82,2.77,391,618,62,17.4,5,2380,9.5,1343,85.2,0,0,0.0
Tampa Bay Lightning,2001,82,2.17,303,481,46,14.7,6,2179,8.2,1072,85.3,0,0,0.0
Toronto Maple Leafs,2001,82,3.04,426,675,54,15.5,9,2339,10.6,1212,84.5,0,0,0.0
Vancouver Canucks,2001,82,3.1,439,693,69,18.5,3,2326,10.9,1342,85.0,0,0,0.0
Washington Capitals,2001,82,2.78,393,621,58,19.4,2,2293,9.9,1043,82.2,0,0,0.0
Anaheim Mighty Ducks,2000,82,2.29,323,511,66,17.7,6,2123,8.9,1136,81.8,0,0,0.0
Atlanta Thrashers,2000,82,2.57,349,560,54,13.7,9,2291,9.2,1500,77.9,0,0,0.0
Boston Bruins,2000,82,2.77,388,615,64,16.4,8,2359,9.6,1325,82.8,0,0,0.0
Buffalo Sabres,2000,82,2.66,382,600,60,16.1,6,2204,9.9,1249,88.0,0,0,0.0
Calgary Flames,2000,82,2.4,347,544,65,14.9,3,2230,8.8,1376,79.9,0,0,0.0
Carolina Hurricanes,2000,82,2.59,369,581,72,18.8,6,2217,9.6,1083,87.2,0,0,0.0
Chicago Blackhawks,2000,82,2.56,347,557,41,12.9,15,2160,9.7,1001,83.9,0,0,0.0
Colorado Avalanche,2000,82,3.29,471,741,80,22.0,11,2395,11.3,1138,82.7,0,0,0.0
Columbus Blue Jackets,2000,82,2.32,304,494,56,14.7,3,2082,9.1,1234,80.7,0,0,0.0
Dallas Stars,2000,82,2.94,412,653,72,19.6,7,2100,11.5,1041,86.2,0,0,0.0
Detroit Red Wings,2000,82,3.09,430,683,85,22.1,10,2650,9.5,1082,85.7,0,0,0.0
Edmonton Oilers,2000,82,2.96,411,654,59,14.8,13,2145,11.3,1287,83.8,0,0,0.0
Florida Panthers,2000,82,2.44,333,533,46,13.0,8,2170,9.2,1509,83.9,0,0,0.0
Los Angeles Kings,2000,82,3.07,436,688,71,19.3,14,2288,11.0,1196,81.2,0,0,0.0
Minnesota Wild,2000,82,2.05,281,449,36,9.6,13,2020,8.3,1200,84.7,0,0,0.0
Montreal Canadiens,2000,82,2.51,347,553,68,16.2,5,2148,9.6,1020,82.2,0,0,0.0
Nashville Predators,2000,82,2.27,319,505,51,14.1,7,2182,8.5,944,85.2,0,0,0.0
New Jersey Devils,2000,82,3.6,516,811,71,22.9,9,2590,11.4,1235,84.7,0,0,0.0
New York Islanders,2000,82,2.26,309,494,51,13.2,9,2257,8.2,1339,82.2,0,0,0.0
New York Rangers,2000,82,3.05,424,674,65,17.9,16,2345,10.7,1522,78.5,0,0,0.0
Ottawa Senators,2000,82,3.34,462,736,71,18.6,10,2476,11.1,1062,86.4,0,0,0.0
Philadelphia Flyers,2000,82,2.93,398,638,55,15.7,11,2452,9.8,1183,82.5,0,0,0.0
Pittsburgh Penguins,2000,82,3.43,501,782,76,20.3,7,2394,11.7,1585,80.7,0,0,0.0
San Jose Sharks,2000,82,2.65,374,591,57,14.0,8,2266,9.6,1364,86.2,0,0,0.0
St. Louis Blues,2000,82,3.04,408,657,72,18.7,15,2494,10.0,1345,85.3,0,0,0.0
Tampa Bay Lightning,2000,82,2.45,335,536,53,12.5,9,2014,10.0,1404,82.9,0,0,0.0
Toronto Maple Leafs,2000,82,2.83,404,636,57,16.1,2,2276,10.2,1430,85.0,0,0,0.0
Vancouver Canucks,2000,82,2.91,399,638,71,17.1,12,2434,9.8,1113,80.9,0,0,0.0
Washington Capitals,2000,82,2.84,409,642,75,21.2,6,2348,9.9,1141,84.1,0,0,0.0
Anaheim Mighty Ducks,1999,82,2.65,375,592,55,16.6,4,2352,9.2,926,79.1,0,0,0.0
Atlanta Thrashers,1999,82,2.07,286,456,44,12.6,6,2115,8.0,1422,80.3,0,0,0.0
Boston Bruins,1999,82,2.56,343,553,51,14.4,0,2516,8.3,865,79.5,0,0,0.0
Buffalo Sabres,1999,82,2.6,345,558,37,10.5,8,2228,9.6,1173,85.0,0,0,0.0
Calgary Flames,1999,82,2.57,370,581,59,17.9,4,2468,8.5,1267,79.7,0,0,0.0
Carolina Hurricanes,1999,82,2.65,369,586,58,17.0,3,2161,10.0,799,84.2,0,0,0.0
Chicago Blackhawks,1999,82,2.95,402,644,52,16.0,10,2106,11.5,1444,83.7,0,0,0.0
Colorado Avalanche,1999,82,2.84,393,626,59,19.5,3,2188,10.6,1118,84.5,0,0,0.0
Dallas Stars,1999,82,2.57,366,577,54,15.7,9,2099,10.1,1029,89.3,0,0,0.0
Detroit Red Wings,1999,82,3.39,467,745,69,20.4,15,2620,10.6,1014,85.9,0,0,0.0
Edmonton Oilers,1999,82,2.76,377,603,53,15.8,9,2310,9.8,1354,85.4,0,0,0.0
Florida Panthers,1999,82,2.98,413,657,58,17.2,2,2198,11.1,1329,85.4,0,0,0.0
Los Angeles Kings,1999,82,2.99,425,670,60,16.9,4,2421,10.1,1313,82.3,0,0,0.0
Montreal Canadiens,1999,82,2.39,326,522,54,16.7,7,2135,9.2,1067,86.8,0,0,0.0
Nashville Predators,1999,82,2.43,331,530,41,13.5,9,2215,9.0,946,85.1,0,0,0.0
New Jersey Devils,1999,82,3.06,438,689,55,20.1,9,2717,9.2,1313,87.5,0,0,0.0
New York Islanders,1999,82,2.37,308,502,45,14.1,8,2147,9.0,1376,80.0,0,0,0.0
New York Rangers,1999,82,2.66,382,600,55,16.9,5,2416,9.0,916,83.2,0,0,0.0
Ottawa Senators,1999,82,2.98,397,641,52,16.8,6,2584,9.4,850,87.5,0,0,0.0
Philadelphia Flyers,1999,82,2.89,386,623,69,20.3,7,2495,9.5,1233,86.7,0,0,0.0
Pittsburgh Penguins,1999,82,2.94,427,668,54,15.6,7,2137,11.3,1221,82.6,0,0,0.0
San Jose Sharks,1999,82,2.74,383,608,62,16.4,16,2248,10.0,1292,83.6,0,0,0.0
St. Louis Blues,1999,82,3.02,428,676,61,17.8,13,2445,10.1,1139,87.8,0,0,0.0
Tampa Bay Lightning,1999,82,2.49,344,548,51,14.0,9,2084,9.8,1723,80.7,0,0,0.0
Toronto Maple Leafs,1999,82,3.0,406,652,57,17.8,11,2161,11.4,1103,82.4,0,0,0.0
Vancouver Canucks,1999,82,2.77,381,608,51,15.8,9,2187,10.4,1047,80.4,0,0,0.0
Washington Capitals,1999,82,2.77,377,604,43,15.0,9,2269,10.0,994,86.2,0,0,0.0
Anaheim Mighty Ducks,1998,82,2.62,350,565,83,22.0,6,2331,9.2,1323,84.5,0,0,0.0
Boston Bruins,1998,82,2.61,366,580,65,17.7,3,2262,9.5,1182,89.2,0,0,0.0
Buffalo Sabres,1998,82,2.52,348,555,49,13.5,6,2150,9.6,1561,86.2,0,0,0.0
Calgary Flames,1998,82,2.57,348,559,51,14.3,12,2344,9.0,1389,79.8,0,0,0.0
Carolina Hurricanes,1998,82,2.56,348,558,42,11.0,5,2142,9.8,1158,85.3,0,0,0.0
Chicago Blackhawks,1998,82,2.46,333,535,50,14.9,8,2145,9.4,1807,80.2,0,0,0.0
Colorado Avalanche,1998,82,2.91,420,659,71,18.9,7,2299,10.4,1619,83.7,0,0,0.0
Dallas Stars,1998,82,2.88,396,632,74,18.8,6,2266,10.4,1108,86.5,0,0,0.0
Detroit Red Wings,1998,82,2.99,434,679,67,16.1,14,2622,9.3,1202,87.3,0,0,0.0
Edmonton Oilers,1998,82,2.8,385,615,63,14.4,8,2396,9.6,1373,82.1,0,0,0.0
Florida Panthers,1998,82,2.56,352,562,51,13.4,10,2307,9.1,1522,81.9,0,0,0.0
Los Angeles Kings,1998,82,2.3,302,491,43,13.2,12,2317,8.2,1383,85.8,0,0,0.0
Montreal Canadiens,1998,82,2.24,312,496,50,14.5,8,2269,8.1,1299,87.2,0,0,0.0
Nashville Predators,1998,82,2.32,332,522,40,12.3,7,2219,8.6,1420,79.0,0,0,0.0
New Jersey Devils,1998,82,3.02,430,678,60,19.7,7,2565,9.7,1355,85.5,0,0,0.0
New York Islanders,1998,82,2.37,314,508,54,15.8,8,2157,9.0,1111,83.5,0,0,0.0
New York Rangers,1998,82,2.65,374,591,71,20.4,7,2085,10.4,1087,85.7,0,0,0.0
Ottawa Senators,1998,82,2.91,392,631,59,14.9,6,2503,9.5,892,86.1,0,0,0.0
Philadelphia Flyers,1998,82,2.82,399,630,65,16.8,4,2451,9.4,1075,84.1,0,0,0.0
Pittsburgh Penguins,1998,82,2.95,417,659,65,17.9,10,2089,11.6,977,81.5,0,0,0.0
San Jose Sharks,1998,82,2.39,330,526,53,13.3,8,2143,9.1,1423,85.0,0,0,0.0
St. Louis Blues,1998,82,2.89,409,646,61,20.3,7,2469,9.6,1308,87.9,0,0,0.0
Tampa Bay Lightning,1998,82,2.18,291,470,43,13.9,11,2130,8.4,1316,82.4,0,0,0.0
Toronto Maple Leafs,1998,82,3.27,454,722,53,14.4,7,2318,11.6,1095,80.3,0,0,0.0
Vancouver Canucks,1998,82,2.34,305,497,57,15.9,17,1945,9.9,1764,82.9,0,0,0.0
Washington Capitals,1998,82,2.44,324,524,52,17.3,8,2377,8.4,1381,84.4,0,0,0.0
Anaheim Mighty Ducks,1997,82,2.5,318,523,46,11.7,9,2184,9.4,1843,81.8,0,0,0.0
Boston Bruins,1997,82,2.7,366,587,62,17.3,5,2230,9.9,1117,84.6,0,0,0.0
Buffalo Sabres,1997,82,2.57,342,553,51,12.9,15,2172,9.7,1768,84.3,0,0,0.0
Calgary Flames,1997,82,2.65,341,558,43,12.1,18,2270,9.6,1859,84.0,0,0,0.0
Carolina Hurricanes,1997,82,2.44,337,537,50,13.2,8,2177,9.2,1455,85.2,0,0,0.0
Chicago Blackhawks,1997,82,2.34,327,519,47,12.9,13,2278,8.4,1546,84.8,0,0,0.0
Colorado Avalanche,1997,82,2.82,404,635,74,17.4,8,2290,10.1,1729,87.0,0,0,0.0
Dallas Stars,1997,82,2.95,405,647,77,20.0,11,2200,11.0,1301,88.0,0,0,0.0
Detroit Red Wings,1997,82,3.05,425,675,67,17.6,8,2531,9.9,1346,86.4,0,0,0.0
Edmonton Oilers,1997,82,2.62,345,560,77,15.9,10,2351,9.1,1690,83.7,0,0,0.0
Florida Panthers,1997,82,2.48,328,531,55,13.4,12,2278,8.9,1676,79.7,0,0,0.0
Los Angeles Kings,1997,82,2.77,374,601,52,14.2,10,2200,10.3,1763,84.2,0,0,0.0
Montreal Canadiens,1997,82,2.87,414,649,68,18.3,13,2277,10.3,1547,84.5,0,0,0.0
New Jersey Devils,1997,82,2.74,384,609,63,18.9,4,2401,9.4,1488,86.7,0,0,0.0
New York Islanders,1997,82,2.59,331,543,61,16.7,11,2119,10.0,1646,85.9,0,0,0.0
New York Rangers,1997,82,2.4,352,549,62,17.7,0,2075,9.5,1548,85.4,0,0,0.0
Ottawa Senators,1997,82,2.35,309,502,48,12.8,6,2401,8.0,1091,84.5,0,0,0.0
Philadelphia Flyers,1997,82,2.95,414,656,71,17.8,7,2352,10.3,1766,86.6,0,0,0.0
Pittsburgh Penguins,1997,82,2.78,400,628,67,16.5,11,2176,10.5,1225,86.4,0,0,0.0
San Jose Sharks,1997,82,2.56,338,548,54,13.5,10,2169,9.7,1417,85.2,0,0,0.0
St. Louis Blues,1997,82,3.12,426,682,62,16.8,12,2203,11.6,1414,86.6,0,0,0.0
Tampa Bay Lightning,1997,82,1.84,248,399,33,9.3,11,2100,7.2,1823,82.4,0,0,0.0
Toronto Maple Leafs,1997,82,2.37,320,514,41,11.4,5,2272,8.5,1481,86.6,0,0,0.0
Vancouver Canucks,1997,82,2.73,350,574,48,12.8,19,2092,10.7,2166,82.2,0,0,0.0
Washington Capitals,1997,82,2.67,370,589,55,15.7,14,2225,9.8,1198,89.2,0,0,0.0
Anaheim Mighty Ducks,1996,82,2.99,417,662,56,16.8,9,2331,10.5,1710,81.5,0,0,0.0
Boston Bruins,1996,82,2.85,392,626,46,14.8,15,2427,9.6,1369,81.8,0,0,0.0
Buffalo Sabres,1996,82,2.89,394,631,43,13.2,16,2090,11.3,1840,83.8,0,0,0.0
Calgary Flames,1996,82,2.61,346,560,61,16.9,11,2571,8.3,1444,83.2,0,0,0.0
Chicago Blackhawks,1996,82,2.72,370,593,45,14.8,5,2491,9.0,1763,84.2,0,0,0.0
Colorado Avalanche,1996,82,3.38,465,742,83,20.6,14,2620,10.6,1361,87.6,0,0,0.0
Dallas Stars,1996,82,3.07,432,684,46,14.7,11,2439,10.3,1325,83.4,0,0,0.0
Detroit Red Wings,1996,82,3.09,435,688,66,17.9,10,2726,9.3,1582,86.7,0,0,0.0
Edmonton Oilers,1996,82,3.07,406,658,73,18.0,9,2521,10.0,1368,82.5,0,0,0.0
Florida Panthers,1996,82,2.7,381,602,50,14.2,5,2387,9.3,1628,85.5,0,0,0.0
Hartford Whalers,1996,82,2.76,356,582,58,18.1,12,2435,9.3,1513,84.6,0,0,0.0
Los Angeles Kings,1996,82,2.61,340,554,46,13.6,5,2379,9.0,1638,87.2,0,0,0.0
Montreal Canadiens,1996,82,3.04,431,680,53,15.7,10,2474,10.1,1469,79.5,0,0,0.0
New Jersey Devils,1996,82,2.82,394,625,40,13.9,4,2593,8.9,1135,88.1,0,0,0.0
New York Islanders,1996,82,2.93,372,612,48,13.9,14,2188,11.0,1640,83.4,0,0,0.0
New York Rangers,1996,82,3.15,432,690,63,22.0,15,2528,10.2,1481,79.9,0,0,0.0
Ottawa Senators,1996,82,2.76,368,594,56,16.7,9,2397,9.4,1087,81.9,0,0,0.0
Philadelphia Flyers,1996,82,3.34,455,729,53,14.6,11,2644,10.4,1699,85.7,0,0,0.0
Pittsburgh Penguins,1996,82,3.48,496,781,74,21.8,11,2414,11.8,1498,81.1,0,0,0.0
San Jose Sharks,1996,82,2.57,330,541,50,14.3,9,2360,8.9,2085,83.9,0,0,0.0
St. Louis Blues,1996,82,2.88,386,622,50,15.3,9,2415,9.8,1336,83.4,0,0,0.0
Tampa Bay Lightning,1996,82,2.65,352,569,47,13.8,13,2574,8.4,1686,84.8,0,0,0.0
Toronto Maple Leafs,1996,82,2.8,365,595,48,15.5,11,2401,9.6,1331,82.0,0,0,0.0
Vancouver Canucks,1996,82,3.13,436,693,51,16.8,12,2301,11.2,1607,80.8,0,0,0.0
Washington Capitals,1996,82,2.61,342,556,51,15.8,8,2370,9.0,1652,84.7,0,0,0.0
Anaheim Mighty Ducks,1995,82,2.85,403,637,60,14.1,10,2354,9.9,1707,80.9,0,0,0.0
Boston Bruins,1995,82,3.44,457,739,68,18.3,13,2838,9.9,1039,80.2,0,0,0.0
Buffalo Sabres,1995,82,3.01,417,664,74,15.5,10,2333,10.6,2195,84.5,0,0,0.0
Calgary Flames,1995,82,2.94,383,624,70,18.1,11,2466,9.8,1524,80.4,0,0,0.0
Chicago Blackhawks,1995,82,3.33,475,748,63,17.7,13,2240,12.2,1880,85.5,0,0,0.0
Colorado Avalanche,1995,82,3.98,542,868,86,21.1,21,2644,12.3,1536,83.7,0,0,0.0
Dallas Stars,1995,82,2.77,377,604,67,15.0,8,2472,9.2,1652,80.3,0,0,0.0
Detroit Red Wings,1995,82,3.96,555,880,97,21.3,17,2648,12.3,1551,88.2,0,0,0.0
Edmonton Oilers,1995,82,2.93,405,645,71,15.7,10,2459,9.8,1709,81.1,0,0,0.0
Florida Panthers,1995,82,3.1,434,688,81,17.4,11,2364,10.7,1494,83.0,0,0,0.0
Hartford Whalers,1995,82,2.89,382,619,67,18.0,8,2494,9.5,1844,80.7,0,0,0.0
Los Angeles Kings,1995,82,3.12,438,694,72,18.0,12,2573,9.9,1460,81.1,0,0,0.0
Montreal Canadiens,1995,82,3.23,433,698,77,19.1,15,2363,11.2,1847,82.4,0,0,0.0
New Jersey Devils,1995,82,2.62,347,562,54,14.8,11,2637,8.2,1486,84.7,0,0,0.0
New York Islanders,1995,82,2.79,373,602,69,18.7,8,2310,9.9,1669,78.9,0,0,0.0
New York Rangers,1995,82,3.32,469,741,85,19.9,6,2671,10.2,1852,82.0,0,0,0.0
Ottawa Senators,1995,82,2.33,309,500,53,12.3,6,2204,8.7,1553,77.9,0,0,0.0
Philadelphia Flyers,1995,82,3.44,482,764,82,19.9,12,2530,11.1,1785,86.0,0,0,0.0
Pittsburgh Penguins,1995,82,4.41,643,1005,109,25.9,18,2645,13.7,1623,83.3,0,0,0.0
San Jose Sharks,1995,82,3.07,403,655,62,16.1,15,2143,11.8,1480,76.5,0,0,0.0
St. Louis Blues,1995,82,2.67,344,563,74,16.5,11,2548,8.6,1823,83.0,0,0,0.0
Tampa Bay Lightning,1995,82,2.9,386,624,83,20.4,6,2546,9.3,1628,84.1,0,0,0.0
Toronto Maple Leafs,1995,82,3.01,394,641,83,18.6,11,2675,9.2,1742,82.9,0,0,0.0
Vancouver Canucks,1995,82,3.39,465,743,69,16.9,17,2472,11.2,1546,81.8,0,0,0.0
Washington Capitals,1995,82,2.85,405,639,63,15.6,12,2470,9.5,1553,82.6,0,0,0.0
Anaheim Mighty Ducks,1994,48,2.6,211,336,23,11.4,4,1346,9.3,734,75.6,0,0,0.0
Boston Bruins,1994,48,3.13,247,397,46,21.8,3,1651,9.1,793,86.9,0,0,0.0
Buffalo Sabres,1994,48,2.71,212,342,45,18.6,13,1276,10.2,1022,85.5,0,0,0.0
Calgary Flames,1994,48,3.4,273,436,39,18.5,7,1451,11.2,1249,85.1,0,0,0.0
Chicago Blackhawks,1994,48,3.25,258,414,52,24.5,7,1443,10.8,1123,84.2,0,0,0.0
Dallas Stars,1994,48,2.83,222,358,39,15.7,4,1520,8.9,1117,84.4,0,0,0.0
Detroit Red Wings,1994,48,3.75,311,491,52,24.2,5,1571,11.5,932,86.4,0,0,0.0
Edmonton Oilers,1994,48,2.83,232,368,42,16.2,8,1427,9.5,1183,77.7,0,0,0.0
Florida Panthers,1994,48,2.4,183,298,29,13.1,1,1191,9.7,770,83.2,0,0,0.0
Hartford Whalers,1994,48,2.65,217,344,30,17.2,3,1428,8.9,915,80.0,0,0,0.0
Los Angeles Kings,1994,48,2.96,249,391,35,17.5,5,1443,9.8,978,81.0,0,0,0.0
Montreal Canadiens,1994,48,2.6,208,333,28,16.3,1,1376,9.1,840,80.6,0,0,0.0
New Jersey Devils,1994,48,2.83,227,363,22,13.4,3,1444,9.4,787,81.2,0,0,0.0
New York Islanders,1994,48,2.63,199,325,28,15.7,4,1357,9.3,901,78.4,0,0,0.0
New York Rangers,1994,48,2.9,224,363,40,20.0,5,1529,9.1,781,83.9,0,0,0.0
Ottawa Senators,1994,48,2.44,179,296,31,14.4,1,1247,9.4,749,80.4,0,0,0.0
Philadelphia Flyers,1994,48,3.13,248,398,40,19.6,2,1314,11.4,741,80.8,0,0,0.0
Pittsburgh Penguins,1994,48,3.77,316,497,42,19.0,8,1400,12.9,1036,79.9,0,0,0.0
Quebec Nordiques,1994,48,3.85,309,494,45,24.2,9,1448,12.8,770,81.3,0,0,0.0
San Jose Sharks,1994,48,2.69,220,349,24,11.8,6,1152,11.2,840,81.3,0,0,0.0
St. Louis Blues,1994,48,3.71,290,468,36,16.4,7,1411,12.6,1077,80.3,0,0,0.0
Tampa Bay Lightning,1994,48,2.5,187,307,25,14.1,6,1280,9.4,1040,84.4,0,0,0.0
Toronto Maple Leafs,1994,48,2.81,219,354,37,17.0,5,1520,8.9,744,84.9,0,0,0.0
Vancouver Canucks,1994,48,3.19,255,408,47,19.7,7,1579,9.7,1093,83.5,0,0,0.0
Washington Capitals,1994,48,2.83,236,372,45,19.9,13,1386,9.8,1144,84.5,0,0,0.0
Anaheim Mighty Ducks,1993,84,2.73,359,588,54,14.4,9,2402,9.5,1507,82.7,0,0,0.0
Boston Bruins,1993,84,3.44,486,775,84,21.7,17,2980,9.7,1442,84.7,0,0,0.0
Buffalo Sabres,1993,84,3.36,447,729,96,22.6,21,2369,11.9,1760,84.7,0,0,0.0
Calgary Flames,1993,84,3.6,495,797,87,21.2,16,2640,11.4,1847,80.6,0,0,0.0
Chicago Blackhawks,1993,84,3.02,433,687,67,17.5,15,2545,10.0,2125,83.4,0,0,0.0
Dallas Stars,1993,84,3.4,487,773,81,18.4,8,2558,11.2,1919,84.1,0,0,0.0
Detroit Red Wings,1993,84,4.24,592,948,85,20.8,22,2990,11.9,1775,80.9,0,0,0.0
Edmonton Oilers,1993,84,3.11,438,699,74,18.4,2,2549,10.2,1858,80.5,0,0,0.0
Florida Panthers,1993,84,2.77,379,612,65,15.9,8,2291,10.2,1620,82.6,0,0,0.0
Hartford Whalers,1993,84,2.7,388,615,61,15.0,8,2319,9.8,1809,78.8,0,0,0.0
Los Angeles Kings,1993,84,3.5,491,785,92,20.7,19,2769,10.6,2017,80.5,0,0,0.0
Montreal Canadiens,1993,84,3.37,472,755,78,20.1,8,2621,10.8,1524,82.6,0,0,0.0
New Jersey Devils,1993,84,3.64,510,816,61,18.3,10,2657,11.5,1734,81.1,0,0,0.0
New York Islanders,1993,84,3.36,465,747,74,20.1,15,2511,11.2,1787,81.1,0,0,0.0
New York Rangers,1993,84,3.56,495,794,96,23.0,20,2871,10.4,1688,84.6,0,0,0.0
Ottawa Senators,1993,84,2.39,343,544,63,14.5,9,2149,9.4,1710,73.3,0,0,0.0
Philadelphia Flyers,1993,84,3.5,521,815,80,20.8,9,2409,12.2,1697,80.7,0,0,0.0
Pittsburgh Penguins,1993,84,3.56,518,817,76,18.8,6,2731,10.9,1624,82.0,0,0,0.0
Quebec Nordiques,1993,84,3.3,455,732,67,15.6,10,2405,11.5,1625,79.6,0,0,0.0
San Jose Sharks,1993,84,3.0,424,676,68,16.0,6,2101,12.0,1343,78.6,0,0,0.0
St. Louis Blues,1993,84,3.21,447,717,86,20.5,17,2570,10.5,1659,81.2,0,0,0.0
Tampa Bay Lightning,1993,84,2.67,356,580,57,14.7,7,2503,8.9,1579,82.7,0,0,0.0
Toronto Maple Leafs,1993,84,3.33,461,741,88,19.2,8,2530,11.1,1877,81.9,0,0,0.0
Vancouver Canucks,1993,84,3.32,455,734,83,18.8,14,2625,10.6,1923,81.7,0,0,0.0
Washington Capitals,1993,84,3.3,470,747,70,18.1,8,2606,10.6,2007,81.6,0,0,0.0
