Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,Year
Diana Taurasi,G,34,31.9,24.1,7.6,17.0,44.6,2.6,7.3,36.0,6.3,7.3,87.0,5.1,3.6,1.4,1.4,2.4,2008
Cappie Pondexter,G,32,31.3,21.2,7.3,17.7,41.3,1.3,4.1,31.3,5.3,6.3,84.6,3.7,4.2,1.2,0.2,2.9,2008
Seimone Augustus,G,31,33.6,19.1,7.5,16.0,46.9,0.6,2.0,31.7,3.4,3.8,89.0,3.9,2.7,1.0,0.4,1.7,2008
Candace Parker,F,33,33.6,18.5,7.0,13.4,52.3,0.3,0.8,42.3,4.2,5.7,73.3,9.5,3.4,1.3,2.3,2.8,2008
Becky Hammon,G,33,33.4,17.6,5.2,13.3,39.0,2.3,6.7,35.0,4.9,5.3,93.7,2.8,4.9,1.3,0.2,3.2,2008
Sophia Young-Malcolm,F,33,31.9,17.5,6.3,13.1,47.8,0.0,0.1,0.0,4.9,6.2,78.6,5.6,2.3,1.6,0.5,1.7,2008
Betty Lennox,G,34,29.7,17.4,6.1,14.7,41.5,1.9,5.2,35.8,3.4,4.0,85.3,4.2,2.4,1.3,0.1,3.4,2008
Asjha Jones,F,33,29.2,17.0,6.8,14.0,48.4,0.2,0.7,21.7,3.3,4.2,79.1,6.1,2.5,0.6,0.8,2.2,2008
Jia Perkins,G,34,31.7,17.0,6.3,14.3,43.9,1.3,3.6,36.6,3.1,3.5,89.1,4.1,2.8,1.9,0.3,1.8,2008
Candice Dupree,F,34,33.1,16.3,6.1,13.4,45.7,0.0,0.2,14.3,4.1,5.2,78.0,7.9,2.3,1.0,1.3,2.9,2008
Alana Beard,G,33,33.1,16.1,5.7,14.4,39.5,1.5,4.4,35.4,3.2,4.4,73.3,3.6,3.5,1.7,0.6,3.2,2008
Deanna Nolan,G,34,33.6,15.8,6.4,13.7,46.5,1.3,3.4,37.4,1.9,2.1,86.3,3.9,4.4,1.2,0.3,2.1,2008
Shameka Christon,F,31,30.5,15.7,4.9,12.4,39.7,2.3,5.6,40.6,3.6,4.3,82.8,3.0,1.6,1.1,0.5,2.0,2008
Candice Wiggins,G,30,27.5,15.7,4.6,11.3,40.3,1.2,4.0,30.6,5.4,6.6,81.7,3.2,3.0,1.8,0.2,1.9,2008
Katie Douglas,G,33,34.4,15.6,5.2,13.8,37.2,1.7,5.3,32.4,3.6,4.5,79.9,4.1,3.2,1.6,0.4,3.0,2008
Lisa Leslie,,33,32.1,15.1,5.7,12.3,46.3,0.1,0.5,23.5,3.5,5.4,66.1,8.9,2.4,1.5,2.9,3.6,2008
Ann Wauters,C,32,30.6,14.7,6.1,11.4,53.3,0.3,1.0,35.5,2.2,3.1,71.4,7.5,1.8,1.1,1.2,2.2,2008
Katie Smith,G,34,33.9,14.7,4.6,12.1,38.3,2.2,6.2,36.0,3.2,3.6,88.7,2.8,4.0,0.9,0.1,2.4,2008
Sue Bird,G,33,33.7,14.1,5.2,11.8,44.1,1.4,4.2,34.3,2.2,2.6,87.1,2.5,5.1,1.2,0.1,2.7,2008
Lindsay Whalen,G,31,29.3,14.0,4.5,9.9,46.1,0.9,2.6,33.8,4.1,5.1,80.3,5.6,5.4,1.5,0.0,1.9,2008
DeLisha Milton-Jones,F,31,32.8,13.9,5.3,11.1,48.0,0.9,2.6,35.8,2.3,3.0,77.4,6.3,2.4,1.1,0.6,3.2,2008
Janel McCarville,C,31,26.3,13.7,5.4,10.1,53.5,0.0,0.3,0.0,2.9,3.7,77.4,5.4,2.1,1.5,0.8,2.2,2008
Taj McWilliams-Franklin,F,26,33.2,13.3,5.7,10.8,52.5,0.3,1.0,28.0,1.8,2.4,73.0,7.3,1.6,1.7,1.0,2.9,2008
Tamika Catchings,F,25,27.8,13.3,4.0,10.3,39.1,1.5,3.5,43.2,3.7,4.6,80.0,6.3,3.3,2.0,0.4,2.4,2008
Tamika Whitmore,,34,26.8,12.6,4.7,11.5,40.8,1.0,3.2,31.5,2.2,2.8,78.1,4.7,1.4,0.6,0.4,2.0,2008
Plenette Pierson,F,28,23.2,11.9,4.4,9.5,45.7,0.0,0.1,0.0,3.1,4.2,75.2,4.9,2.3,0.9,1.2,1.7,2008
Monique Currie,F,34,28.6,11.9,4.0,9.9,40.1,0.7,1.9,37.5,3.2,3.9,82.6,4.1,2.5,0.9,0.4,2.6,2008
Tammy Sutton-Brown,C,33,29.0,11.8,4.3,8.8,49.5,0.0,0.0,0.0,3.1,4.6,67.3,6.3,0.5,0.6,1.7,2.1,2008
Ivory Latta,G,34,28.2,11.4,3.6,10.1,36.2,1.6,4.7,34.4,2.5,3.1,80.2,2.1,3.6,1.3,0.0,1.8,2008
Swin Cash,F,31,29.9,11.3,3.7,9.5,38.9,0.0,0.3,12.5,3.9,5.1,77.2,5.4,1.9,0.7,1.0,2.2,2008
Tangela Smith,C,25,28.9,11.1,4.4,10.6,41.7,0.6,1.8,34.8,1.6,1.8,86.7,7.0,1.1,1.1,1.2,1.6,2008
Ebony Hoffman,F,33,30.7,10.4,4.3,9.2,46.5,0.8,1.7,45.6,1.0,1.2,82.9,7.8,1.8,1.4,0.8,2.4,2008
Le'coe Willingham,F,34,24.5,10.1,4.1,7.2,57.0,0.1,0.8,18.5,1.8,2.4,74.1,5.9,0.9,0.6,0.2,1.4,2008
Tan White,G,33,27.1,9.9,3.6,9.8,36.6,1.2,3.6,32.5,1.5,1.8,85.0,3.1,2.4,1.3,0.4,2.6,2008
Cathrine Kraayeveld,F,34,28.3,9.6,3.4,8.8,38.3,1.8,4.9,37.6,1.1,1.5,70.6,6.1,1.4,0.8,0.8,1.6,2008
Iziane Castro,G,29,23.1,9.3,3.3,9.4,35.3,1.0,3.2,30.9,1.7,2.0,81.4,2.2,1.8,0.9,0.2,2.0,2008
Nicky Anosike,F,34,27.1,9.2,2.9,6.6,43.8,0.0,0.0,0.0,3.4,4.9,69.9,6.8,1.3,2.2,1.3,1.2,2008
Kara Braxton,F,33,17.9,8.9,3.2,7.8,41.5,0.0,0.1,0.0,2.5,3.3,74.3,5.1,0.8,0.4,0.7,1.6,2008
Charde Houston,F,33,17.6,8.8,3.5,7.2,49.2,0.0,0.0,0.0,1.8,2.5,74.1,3.7,0.8,0.9,0.4,1.7,2008
Anna DeForge,,34,24.9,8.5,3.1,8.0,39.1,1.4,3.8,36.4,0.9,1.1,76.3,3.0,1.7,0.8,0.1,0.9,2008
Marie Ferdinand-Harris,G,33,20.6,8.4,2.8,7.5,37.0,0.4,1.3,27.3,2.5,2.8,89.1,2.6,1.3,0.8,0.1,1.2,2008
Kelly Miller,G,34,27.8,8.3,3.1,7.7,40.8,0.6,1.5,38.5,1.4,1.7,84.5,4.4,4.0,0.6,0.1,2.5,2008
Tiffany Jackson-Jones,F,25,19.8,8.3,3.2,6.3,51.6,0.0,0.0,0.0,1.8,2.9,63.0,5.7,1.0,1.0,0.3,1.9,2008
Chasity Melvin,,34,22.5,8.2,2.9,6.5,44.3,0.0,0.1,33.3,2.4,3.9,61.4,5.1,1.5,0.9,0.3,1.4,2008
Dominique Canty,G,28,26.3,8.1,2.5,6.4,39.4,0.0,0.2,16.7,3.0,4.4,66.9,2.5,4.1,1.0,0.1,1.9,2008
Barbara Turner,,34,19.5,8.0,2.4,5.6,41.7,1.3,3.5,37.3,2.0,2.6,77.5,3.2,1.5,0.4,0.4,1.2,2008
Tanisha Wright,G,34,23.8,7.9,3.2,7.4,43.2,0.1,0.7,16.7,1.4,1.8,78.7,3.4,2.5,0.9,0.2,2.3,2008
Tamera Young,F,33,22.6,7.3,2.4,7.3,33.3,0.4,1.2,32.5,2.0,2.9,69.1,4.2,1.2,0.9,0.3,1.8,2008
Yolanda Griffith,,30,21.9,7.2,2.2,4.8,46.2,0.0,0.0,0.0,2.8,4.3,64.8,6.3,1.5,1.4,0.6,1.7,2008
Erin Perperoglou,,34,26.7,7.2,2.2,5.2,42.7,0.8,1.9,43.1,1.9,2.4,77.1,3.3,1.7,1.1,0.6,1.5,2008
Sheryl Swoopes,,29,24.3,7.1,2.6,6.6,39.1,0.5,2.2,22.2,1.4,2.0,69.5,4.3,2.1,1.5,0.3,1.1,2008
Armintie Herrington,G,34,22.4,6.9,2.5,5.6,43.8,0.0,0.0,0.0,1.9,3.7,52.0,3.7,1.7,1.1,0.4,1.4,2008
Nakia Sanford,F,34,23.4,6.7,2.6,5.9,45.2,0.0,0.0,0.0,1.4,3.6,39.8,5.7,1.2,0.6,0.3,2.4,2008
Katie Mattera,,33,14.0,6.7,2.3,4.4,53.5,0.0,0.0,0.0,2.0,2.7,74.4,3.9,0.3,0.1,0.8,1.8,2008
Vickie Johnson,G,32,27.9,6.7,2.7,6.2,43.9,0.3,1.2,28.2,0.9,1.1,77.8,5.3,3.6,0.8,0.2,1.5,2008
Essence Carson,F,34,19.0,6.6,2.7,7.2,37.6,0.2,0.9,27.6,0.9,1.4,67.4,2.2,0.9,0.9,0.2,1.0,2008
Amber Holt,F,34,21.0,6.5,2.4,5.9,40.7,0.7,2.2,32.9,1.0,1.3,77.8,3.1,1.9,0.4,0.1,0.9,2008
Sandrine Gruda,F,31,15.4,6.2,2.6,5.7,45.5,0.0,0.0,0.0,1.0,1.8,54.4,3.5,0.9,0.6,0.8,1.3,2008
Tully Bevilaqua,G,30,29.2,5.8,2.1,5.3,40.5,1.0,3.0,33.7,0.6,0.9,60.7,2.3,2.2,2.0,0.1,1.2,2008
Kelly Mazzante,,34,18.9,5.8,2.0,6.0,33.2,1.6,5.0,33.1,0.1,0.2,83.3,1.9,1.1,0.7,0.1,0.5,2008
Nicole Ohlde,,34,16.4,5.8,2.1,4.7,45.3,0.0,0.0,0.0,1.5,1.9,78.5,3.3,1.3,0.3,0.6,1.5,2008
Jennifer Lacy,F,33,18.3,5.7,2.2,5.8,38.9,0.1,0.6,19.0,1.1,1.7,67.3,2.7,0.8,0.5,0.2,1.1,2008
Lisa Willis,,34,13.5,5.6,1.7,4.1,42.1,1.3,2.8,46.8,0.9,0.9,96.7,1.7,0.4,0.9,0.1,0.9,2008
Alexis Hornbuckle,G,34,22.0,5.4,1.9,5.2,35.4,0.5,1.3,35.6,1.2,1.9,63.6,4.1,2.1,2.3,0.3,1.4,2008
Loree Moore,G,29,27.9,5.3,1.9,5.6,34.2,0.8,2.9,28.9,0.7,0.8,83.3,3.9,4.6,1.5,0.1,2.7,2008
Sidney Spencer,,33,13.7,5.3,1.9,4.7,40.6,0.9,2.5,38.3,0.5,0.5,94.4,1.9,0.5,0.4,0.1,0.7,2008
Coco Miller,G,34,20.9,5.3,2.3,6.4,35.5,0.4,1.6,28.3,0.3,0.5,62.5,2.5,1.4,0.8,0.1,1.7,2008
Vanessa Hayden-Johnson,,30,10.1,5.2,2.2,4.9,44.5,0.0,0.0,0.0,0.9,1.5,61.4,3.5,0.4,0.5,0.5,0.9,2008
Ruth Riley,C,30,19.3,5.1,2.1,4.8,43.4,0.3,0.9,32.1,0.6,0.7,85.7,3.6,1.0,0.5,1.4,1.7,2008
Katie Gearlds,,34,13.8,5.0,1.7,4.6,37.3,1.1,2.7,39.1,0.5,0.7,73.9,1.3,0.6,0.3,0.1,0.4,2008
Kiesha Brown,,32,16.6,4.9,1.6,4.6,35.6,0.7,2.1,34.3,1.0,1.1,91.2,1.8,2.1,0.6,0.0,1.2,2008
Crystal Langhorne,F,34,15.6,4.8,2.0,3.2,62.4,0.0,0.0,0.0,0.8,1.5,54.9,4.0,0.4,0.4,0.2,1.1,2008
Erlana Larkins,F,27,12.4,4.8,1.8,3.5,51.1,0.0,0.0,0.0,1.2,2.1,58.9,2.7,0.7,0.4,0.3,1.3,2008
LaToya Sanders,F,29,13.0,4.4,1.5,3.3,44.8,0.0,0.0,0.0,1.4,1.8,82.4,3.5,0.3,0.3,1.5,0.9,2008
Raffaella Masciadri,,29,14.2,4.3,1.6,4.7,34.8,0.6,2.3,23.5,0.6,0.7,80.0,1.4,0.6,0.3,0.0,0.6,2008
Crystal Smith,,28,14.0,4.3,1.4,3.9,35.5,0.5,1.4,36.8,1.0,1.3,80.6,1.0,0.9,0.5,0.1,1.2,2008
Jamie Carey,,33,15.1,4.2,1.4,3.4,42.3,1.0,2.5,41.0,0.3,0.3,90.0,1.2,1.4,0.2,0.0,0.7,2008
Shannon Bobbitt,G,26,21.2,4.1,1.3,4.9,27.6,0.8,2.7,28.2,0.6,0.8,72.7,2.5,3.5,1.0,0.0,2.4,2008
Kerri Gardin,,34,15.9,4.0,1.4,3.9,35.3,0.6,1.6,37.5,0.6,1.2,53.7,3.3,1.2,0.9,0.2,1.3,2008
Leilani Mitchell,G,34,15.2,3.9,1.1,3.1,37.1,0.6,1.4,40.4,1.0,1.2,81.0,1.7,2.9,0.5,0.1,1.1,2008
Cathy Joens,,26,10.5,3.8,1.3,3.5,37.4,0.9,2.5,36.9,0.3,0.3,87.5,1.3,0.5,0.2,0.1,0.9,2008
Nikki Blue,,26,20.7,3.8,1.3,3.9,32.4,0.5,1.2,43.8,0.7,1.0,76.0,1.6,2.8,0.7,0.1,1.6,2008
Noelle Quinn,G,32,16.7,3.6,1.5,3.7,39.8,0.3,1.0,31.3,0.4,0.6,66.7,2.2,2.5,0.7,0.1,1.4,2008
Ashley Battle,,34,9.9,3.6,1.1,2.9,37.8,0.3,0.9,36.7,1.1,1.5,72.0,1.6,0.7,0.4,0.0,0.8,2008
Helen Darling,,31,18.7,3.5,1.1,4.0,26.8,0.4,1.9,20.0,1.0,1.2,78.9,2.4,1.7,1.1,0.1,1.5,2008
Barbara Farris,F,34,16.3,3.5,1.3,2.7,47.3,0.0,0.0,0.0,0.9,1.3,69.8,3.8,0.2,0.6,0.1,1.0,2008
Olayinka Sanni,,31,10.5,3.4,1.3,2.6,50.0,0.0,0.0,0.0,0.8,1.2,64.9,2.1,0.2,0.4,0.2,1.3,2008
Edwige Lawson-Wade,,30,9.3,3.3,1.2,2.7,45.0,0.7,1.6,46.8,0.2,0.3,66.7,1.0,0.9,0.4,0.0,0.8,2008
Shyra Ely-Gash,F,34,11.4,3.3,1.4,3.4,40.9,0.1,0.3,36.4,0.4,0.7,62.5,2.6,0.5,0.4,0.1,0.9,2008
K.B. Sharp,,34,17.6,3.2,1.2,2.6,44.4,0.3,0.8,32.1,0.6,0.9,65.5,1.3,1.4,0.4,0.0,0.9,2008
Erin Thorn,G,32,11.9,3.2,1.1,3.3,34.0,0.6,2.2,26.8,0.3,0.3,90.9,0.6,1.1,0.2,0.1,0.6,2008
Sheri Sam,F,32,14.9,2.9,1.1,3.4,30.9,0.2,0.7,28.6,0.6,0.8,69.2,2.8,1.2,0.6,0.1,1.0,2008
Kristin Haynie,,33,14.7,2.8,0.9,2.9,31.6,0.3,1.0,31.3,0.7,1.0,75.0,1.7,2.5,0.9,0.1,1.4,2008
Tye'sha Fluker,,26,8.9,2.7,1.0,2.5,38.5,0.0,0.1,33.3,0.7,1.0,76.0,1.3,0.4,0.2,0.3,0.7,2008
Bernadette Ngoyisa,,31,7.3,2.7,1.0,2.0,47.6,0.0,0.0,0.0,0.7,1.0,71.9,1.7,0.2,0.2,0.2,1.0,2008
Allison Feaster,,33,9.1,2.6,0.9,2.7,33.7,0.7,2.3,30.7,0.1,0.1,100.0,0.7,0.8,0.2,0.1,0.4,2008
Kristen Rasmussen,,31,12.7,2.5,0.9,2.3,37.5,0.3,0.7,34.8,0.5,0.7,73.9,2.7,0.9,0.4,0.2,0.6,2008
Tamika Raymond,,34,11.0,2.5,0.9,2.1,41.7,0.0,0.1,0.0,0.7,1.2,58.5,2.9,0.4,0.3,0.0,0.8,2008
Quianna Chaney,,28,8.5,2.4,0.8,3.0,27.7,0.4,1.8,24.0,0.4,0.4,83.3,1.0,0.9,0.5,0.1,0.8,2008
Laurie Koehn,G,30,4.8,2.4,0.8,2.0,39.3,0.8,1.8,41.8,0.0,0.1,0.0,0.4,0.1,0.0,0.0,0.3,2008
LaToya Bond,,32,10.2,2.3,0.8,2.8,28.9,0.3,1.3,21.4,0.4,0.5,81.3,1.0,0.8,0.5,0.1,1.0,2008
Brooke Wyckoff,,34,17.4,2.2,0.7,2.1,34.2,0.5,1.5,31.4,0.3,0.5,56.3,2.3,1.4,0.4,0.6,1.0,2008
Morenike Atunrase,,33,10.5,2.2,0.7,2.6,27.6,0.4,1.2,29.3,0.3,0.5,68.8,1.5,0.7,0.5,0.4,0.8,2008
Ketia Swanier,G,25,9.2,1.6,0.5,1.9,27.7,0.3,1.2,23.3,0.3,0.4,80.0,1.2,1.0,0.6,0.0,0.8,2008
Murriel Page,,27,9.0,1.6,0.6,1.8,32.7,0.1,0.3,25.0,0.3,0.4,66.7,1.3,0.5,0.2,0.0,0.4,2008
Jessica Moore,F,28,11.0,1.4,0.5,1.5,32.6,0.0,0.0,0.0,0.4,0.6,68.8,1.6,0.6,0.1,0.2,0.6,2008
Ashley Robinson,C,33,10.0,0.9,0.4,1.3,30.2,0.0,0.0,0.0,0.1,0.3,30.0,2.2,0.4,0.4,0.6,0.8,2008
